"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Chain","PHB'24","224","none","adventuring gear","","","","","10 lb.","5 gp","As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action. Bursting the Chain requires a successful DC 20 Strength (Athletics) check as an action."
"Chain Mail","PHB'24","219","none","heavy armor","","AC 16","","","55 lb.","75 gp","The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Shirt","PHB'24","219","none","medium armor","","AC 13 + Dex (max 2)","","","20 lb.","50 gp",""
"Chalk (1 piece)","PHB'14","150","none","adventuring gear","","","","","","1 cp",""
"Chariot","PHB'24","230","none","vehicle (land)","","","","","100 lb.","250 gp",""
"Cheese (wedge)","PHB'24","231","none","food and drink","","","","","","1 sp",""
"Chest","PHB'24","225","none","adventuring gear","","","","","25 lb.","5 gp","A Chest holds up to 12 cubic feet of contents."
"Chicken","DMG'24","213","none","trade good","","","","","","2 cp","Merchants commonly exchange trade goods without using currency."
"Chunk of Meat","PHB'14","158","none","food and drink","","","","","","3 sp",""
"Cinnamon","DMG'24","213","none","trade good","","","","","1 lb.","2 gp","Merchants commonly exchange trade goods without using currency."
"Climber's Kit","PHB'24","225","none","adventuring gear","","","","","12 lb.","25 gp","A Climber's Kit includes boot tips, gloves, pitons, and a harness. As a Utilize action, you can use the Climber's Kit to anchor yourself; when you do, you can't fall more than 25 feet from the anchor point, and you can't move more than 25 feet from there without undoing the anchor as a Bonus Action."
"Clothing, cold weather","IDRotF","20","none","adventuring gear","","","","","5 lb.","10 gp","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.As long as cold weather clothing remains dry, its wearer automatically succeeds on saving throws against the effects of extreme cold."
"Cloves","DMG'24","213","none","trade good","","","","","1 lb.","3 gp","Merchants commonly exchange trade goods without using currency."
"Club","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d4 Bludgeoning","Light","Mastery: Slow","2 lb.","1 sp","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Cobbler's Tools","PHB'24","220","none","artisan's tools","","","","","5 lb.","5 gp","Ability: DexterityUtilize: Modify footwear to give Advantage on the wearer's next Dexterity (Acrobatics) check (DC 10)Craft: Climber's KitArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Common Clothes","PHB'14","150","none","adventuring gear","","","","","3 lb.","5 sp",""
"Common Wine (bottle)","PHB'24","231","none","food and drink","","","","","","2 sp",""
"Component Pouch","PHB'24","225","none","adventuring gear","","","","","2 lb.","25 gp","A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
"Concussion Grenade","QftIS","192","none","explosive","","","","","","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away.This grenade explodes in a concussive blast that fills a 20-foot-radius sphere. Each creature in that area must make a DC 15 Dexterity saving throw, taking (6d6) force damage on a failed save or half as much damage on a successful one."
"Cook's Utensils","PHB'24","220","none","artisan's tools","","","","","8 lb.","1 gp","Ability: WisdomUtilize: Improve food's flavor (DC 10), or detect spoiled or poisoned food (DC 15)Craft: RationsArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Copper","DMG'24","213","none","trade good","","","","","1 lb.","5 sp","Merchants commonly exchange trade goods without using currency."
"Costume","PHB'24","225","none","adventuring gear","","","","","4 lb.","5 gp","While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
"Cotton Cloth (1 sq. yd.)","DMG'24","213","none","trade good","","","","","","5 sp","Merchants commonly exchange trade goods without using currency."
"Cow","DMG'24","213","none","trade good","","","","","","10 gp","Merchants commonly exchange trade goods without using currency."
"Crampons","IDRotF","20","none","adventuring gear","","","","","¼ lb.","2 gp","A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice."
"Crossbow Bolt Case","PHB'24","224","none","adventuring gear","","","","","1 lb.","1 gp","A Crossbow Bolt Case holds up to 20 Bolts."
"Crowbar","PHB'24","225","none","adventuring gear","","","","","5 lb.","2 gp","Using a Crowbar gives you Advantage on Strength checks where the Crowbar's leverage can be applied."
"Crystal","PHB'24","224","none","spellcasting focus","","","","","1 lb.","10 gp","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Dagger","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","1 lb.","2 gp","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
